"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_016743855.1_ASM1674385v1_genomic.fna","GCF_016864255.1_ASM1686425v1_genomic.fna","GCF_017584065.1_ASM1758406v1_genomic.fna","GCF_017603725.1_ASM1760372v1_genomic.fna","GCF_017815655.1_ASM1781565v1_genomic.fna","GCF_017815675.1_ASM1781567v1_genomic.fna","GCF_017815695.1_ASM1781569v1_genomic.fna","GCF_017897965.1_ASM1789796v1_genomic.fna","GCF_017898005.1_ASM1789800v1_genomic.fna","GCF_017898025.1_ASM1789802v1_genomic.fna","GCF_018219285.1_ASM1821928v1_genomic.fna","GCF_018219325.1_ASM1821932v1_genomic.fna","GCF_018279145.1_ASM1827914v1_genomic.fna","GCF_018516845.1_ASM1851684v1_genomic.fna","GCF_018516925.1_ASM1851692v1_genomic.fna","GCF_018517045.1_ASM1851704v1_genomic.fna","GCF_018517065.1_ASM1851706v1_genomic.fna","GCF_018517085.1_ASM1851708v1_genomic.fna","GCF_018517105.1_ASM1851710v1_genomic.fna","GCF_018517185.1_ASM1851718v1_genomic.fna"
"glcK","","Glucokinase","20","20","1","1","1914","","","","962","962","962","GCF_016743855.1_ASM1674385v1_genomic.fna_00973","GCF_016864255.1_ASM1686425v1_genomic.fna_01660","GCF_017584065.1_ASM1758406v1_genomic.fna_01759","GCF_017603725.1_ASM1760372v1_genomic.fna_01608","GCF_017815655.1_ASM1781565v1_genomic.fna_01611","GCF_017815675.1_ASM1781567v1_genomic.fna_01707","GCF_017815695.1_ASM1781569v1_genomic.fna_01667","GCF_017897965.1_ASM1789796v1_genomic.fna_01786","GCF_017898005.1_ASM1789800v1_genomic.fna_01786","GCF_017898025.1_ASM1789802v1_genomic.fna_00205","GCF_018219285.1_ASM1821928v1_genomic.fna_01127","GCF_018219325.1_ASM1821932v1_genomic.fna_01687","GCF_018279145.1_ASM1827914v1_genomic.fna_02392","GCF_018516845.1_ASM1851684v1_genomic.fna_01040","GCF_018516925.1_ASM1851692v1_genomic.fna_01616","GCF_018517045.1_ASM1851704v1_genomic.fna_01028","GCF_018517065.1_ASM1851706v1_genomic.fna_01021","GCF_018517085.1_ASM1851708v1_genomic.fna_00974","GCF_018517105.1_ASM1851710v1_genomic.fna_01719","GCF_018517185.1_ASM1851718v1_genomic.fna_00963"
"fpgS","","Folylpolyglutamate synthase","20","20","1","1","7273","","","","1313","1313","1313","GCF_016743855.1_ASM1674385v1_genomic.fna_01929","GCF_016864255.1_ASM1686425v1_genomic.fna_02060","GCF_017584065.1_ASM1758406v1_genomic.fna_02102","GCF_017603725.1_ASM1760372v1_genomic.fna_02107","GCF_017815655.1_ASM1781565v1_genomic.fna_02092","GCF_017815675.1_ASM1781567v1_genomic.fna_02073","GCF_017815695.1_ASM1781569v1_genomic.fna_02074","GCF_017897965.1_ASM1789796v1_genomic.fna_02158","GCF_017898005.1_ASM1789800v1_genomic.fna_02158","GCF_017898025.1_ASM1789802v1_genomic.fna_00621","GCF_018219285.1_ASM1821928v1_genomic.fna_02015","GCF_018219325.1_ASM1821932v1_genomic.fna_02121","GCF_018279145.1_ASM1827914v1_genomic.fna_01423","GCF_018516845.1_ASM1851684v1_genomic.fna_01956","GCF_018516925.1_ASM1851692v1_genomic.fna_01998","GCF_018517045.1_ASM1851704v1_genomic.fna_02060","GCF_018517065.1_ASM1851706v1_genomic.fna_02022","GCF_018517085.1_ASM1851708v1_genomic.fna_01899","GCF_018517105.1_ASM1851710v1_genomic.fna_02071","GCF_018517185.1_ASM1851718v1_genomic.fna_02041"
"group_7092","","hypothetical protein","20","20","1","1","304","","","","596","596","596","GCF_016743855.1_ASM1674385v1_genomic.fna_01430","GCF_016864255.1_ASM1686425v1_genomic.fna_01235","GCF_017584065.1_ASM1758406v1_genomic.fna_01332","GCF_017603725.1_ASM1760372v1_genomic.fna_01188","GCF_017815655.1_ASM1781565v1_genomic.fna_01194","GCF_017815675.1_ASM1781567v1_genomic.fna_01249","GCF_017815695.1_ASM1781569v1_genomic.fna_01206","GCF_017897965.1_ASM1789796v1_genomic.fna_01318","GCF_017898005.1_ASM1789800v1_genomic.fna_01318","GCF_017898025.1_ASM1789802v1_genomic.fna_02475","GCF_018219285.1_ASM1821928v1_genomic.fna_01547","GCF_018219325.1_ASM1821932v1_genomic.fna_01243","GCF_018279145.1_ASM1827914v1_genomic.fna_01944","GCF_018516845.1_ASM1851684v1_genomic.fna_01436","GCF_018516925.1_ASM1851692v1_genomic.fna_01200","GCF_018517045.1_ASM1851704v1_genomic.fna_01476","GCF_018517065.1_ASM1851706v1_genomic.fna_01425","GCF_018517085.1_ASM1851708v1_genomic.fna_01419","GCF_018517105.1_ASM1851710v1_genomic.fna_01309","GCF_018517185.1_ASM1851718v1_genomic.fna_01376"
"degA_2","","HTH-type transcriptional regulator DegA","20","20","1","1","2691","","","","1013","1013","1013","GCF_016743855.1_ASM1674385v1_genomic.fna_00367","GCF_016864255.1_ASM1686425v1_genomic.fna_00409","GCF_017584065.1_ASM1758406v1_genomic.fna_00456","GCF_017603725.1_ASM1760372v1_genomic.fna_00385","GCF_017815655.1_ASM1781565v1_genomic.fna_00383","GCF_017815675.1_ASM1781567v1_genomic.fna_00395","GCF_017815695.1_ASM1781569v1_genomic.fna_00389","GCF_017897965.1_ASM1789796v1_genomic.fna_00402","GCF_017898005.1_ASM1789800v1_genomic.fna_00402","GCF_017898025.1_ASM1789802v1_genomic.fna_01663","GCF_018219285.1_ASM1821928v1_genomic.fna_00376","GCF_018219325.1_ASM1821932v1_genomic.fna_00424","GCF_018279145.1_ASM1827914v1_genomic.fna_00490","GCF_018516845.1_ASM1851684v1_genomic.fna_00447","GCF_018516925.1_ASM1851692v1_genomic.fna_00388","GCF_018517045.1_ASM1851704v1_genomic.fna_00378","GCF_018517065.1_ASM1851706v1_genomic.fna_00385","GCF_018517085.1_ASM1851708v1_genomic.fna_00369","GCF_018517105.1_ASM1851710v1_genomic.fna_00503","GCF_018517185.1_ASM1851718v1_genomic.fna_00408"
"yecD_2","","Isochorismatase family protein YecD","20","20","1","1","2565","","","","626","626","626","GCF_016743855.1_ASM1674385v1_genomic.fna_00430","GCF_016864255.1_ASM1686425v1_genomic.fna_00470","GCF_017584065.1_ASM1758406v1_genomic.fna_00519","GCF_017603725.1_ASM1760372v1_genomic.fna_00447","GCF_017815655.1_ASM1781565v1_genomic.fna_00447","GCF_017815675.1_ASM1781567v1_genomic.fna_00455","GCF_017815695.1_ASM1781569v1_genomic.fna_00452","GCF_017897965.1_ASM1789796v1_genomic.fna_00462","GCF_017898005.1_ASM1789800v1_genomic.fna_00462","GCF_017898025.1_ASM1789802v1_genomic.fna_01725","GCF_018219285.1_ASM1821928v1_genomic.fna_00440","GCF_018219325.1_ASM1821932v1_genomic.fna_00490","GCF_018279145.1_ASM1827914v1_genomic.fna_00430","GCF_018516845.1_ASM1851684v1_genomic.fna_00509","GCF_018516925.1_ASM1851692v1_genomic.fna_00454","GCF_018517045.1_ASM1851704v1_genomic.fna_00441","GCF_018517065.1_ASM1851706v1_genomic.fna_00445","GCF_018517085.1_ASM1851708v1_genomic.fna_00430","GCF_018517105.1_ASM1851710v1_genomic.fna_00564","GCF_018517185.1_ASM1851718v1_genomic.fna_00470"
"group_7095","","hypothetical protein","20","20","1","1","6190","","","","782","782","782","GCF_016743855.1_ASM1674385v1_genomic.fna_01807","GCF_016864255.1_ASM1686425v1_genomic.fna_00763","GCF_017584065.1_ASM1758406v1_genomic.fna_00856","GCF_017603725.1_ASM1760372v1_genomic.fna_00722","GCF_017815655.1_ASM1781565v1_genomic.fna_00724","GCF_017815675.1_ASM1781567v1_genomic.fna_00773","GCF_017815695.1_ASM1781569v1_genomic.fna_00722","GCF_017897965.1_ASM1789796v1_genomic.fna_00843","GCF_017898005.1_ASM1789800v1_genomic.fna_00843","GCF_017898025.1_ASM1789802v1_genomic.fna_01998","GCF_018219285.1_ASM1821928v1_genomic.fna_01912","GCF_018219325.1_ASM1821932v1_genomic.fna_00769","GCF_018279145.1_ASM1827914v1_genomic.fna_01580","GCF_018516845.1_ASM1851684v1_genomic.fna_01846","GCF_018516925.1_ASM1851692v1_genomic.fna_00728","GCF_018517045.1_ASM1851704v1_genomic.fna_01953","GCF_018517065.1_ASM1851706v1_genomic.fna_01865","GCF_018517085.1_ASM1851708v1_genomic.fna_01797","GCF_018517105.1_ASM1851710v1_genomic.fna_00845","GCF_018517185.1_ASM1851718v1_genomic.fna_00721"
"proC","","Pyrroline-5-carboxylate reductase","20","20","1","1","2439","","","","806","806","806","GCF_016743855.1_ASM1674385v1_genomic.fna_02380","GCF_016864255.1_ASM1686425v1_genomic.fna_02605","GCF_017584065.1_ASM1758406v1_genomic.fna_02598","GCF_017603725.1_ASM1760372v1_genomic.fna_02516","GCF_017815655.1_ASM1781565v1_genomic.fna_02564","GCF_017815675.1_ASM1781567v1_genomic.fna_02486","GCF_017815695.1_ASM1781569v1_genomic.fna_02502","GCF_017897965.1_ASM1789796v1_genomic.fna_02573","GCF_017898005.1_ASM1789800v1_genomic.fna_02573","GCF_017898025.1_ASM1789802v1_genomic.fna_01045","GCF_018219285.1_ASM1821928v1_genomic.fna_02546","GCF_018219325.1_ASM1821932v1_genomic.fna_02565","GCF_018279145.1_ASM1827914v1_genomic.fna_00996","GCF_018516845.1_ASM1851684v1_genomic.fna_02370","GCF_018516925.1_ASM1851692v1_genomic.fna_02421","GCF_018517045.1_ASM1851704v1_genomic.fna_02501","GCF_018517065.1_ASM1851706v1_genomic.fna_02449","GCF_018517085.1_ASM1851708v1_genomic.fna_02321","GCF_018517105.1_ASM1851710v1_genomic.fna_02505","GCF_018517185.1_ASM1851718v1_genomic.fna_02455"
"xylH","","Xylose transport system permease protein XylH","20","20","1","1","249","","","","1205","1205","1205","GCF_016743855.1_ASM1674385v1_genomic.fna_01485","GCF_016864255.1_ASM1686425v1_genomic.fna_01181","GCF_017584065.1_ASM1758406v1_genomic.fna_01278","GCF_017603725.1_ASM1760372v1_genomic.fna_01133","GCF_017815655.1_ASM1781565v1_genomic.fna_01138","GCF_017815675.1_ASM1781567v1_genomic.fna_01196","GCF_017815695.1_ASM1781569v1_genomic.fna_01150","GCF_017897965.1_ASM1789796v1_genomic.fna_01264","GCF_017898005.1_ASM1789800v1_genomic.fna_01264","GCF_017898025.1_ASM1789802v1_genomic.fna_02421","GCF_018219285.1_ASM1821928v1_genomic.fna_01603","GCF_018219325.1_ASM1821932v1_genomic.fna_01190","GCF_018279145.1_ASM1827914v1_genomic.fna_01892","GCF_018516845.1_ASM1851684v1_genomic.fna_01494","GCF_018516925.1_ASM1851692v1_genomic.fna_01147","GCF_018517045.1_ASM1851704v1_genomic.fna_01529","GCF_018517065.1_ASM1851706v1_genomic.fna_01478","GCF_018517085.1_ASM1851708v1_genomic.fna_01476","GCF_018517105.1_ASM1851710v1_genomic.fna_01255","GCF_018517185.1_ASM1851718v1_genomic.fna_01431"
"malP","","Maltose phosphorylase","20","20","1","1","2504","","","","2294","2294","2294","GCF_016743855.1_ASM1674385v1_genomic.fna_00332","GCF_016864255.1_ASM1686425v1_genomic.fna_00375","GCF_017584065.1_ASM1758406v1_genomic.fna_00422","GCF_017603725.1_ASM1760372v1_genomic.fna_00350","GCF_017815655.1_ASM1781565v1_genomic.fna_00349","GCF_017815675.1_ASM1781567v1_genomic.fna_00361","GCF_017815695.1_ASM1781569v1_genomic.fna_00354","GCF_017897965.1_ASM1789796v1_genomic.fna_00367","GCF_017898005.1_ASM1789800v1_genomic.fna_00367","GCF_017898025.1_ASM1789802v1_genomic.fna_01629","GCF_018219285.1_ASM1821928v1_genomic.fna_00340","GCF_018219325.1_ASM1821932v1_genomic.fna_00390","GCF_018279145.1_ASM1827914v1_genomic.fna_00524","GCF_018516845.1_ASM1851684v1_genomic.fna_00413","GCF_018516925.1_ASM1851692v1_genomic.fna_00354","GCF_018517045.1_ASM1851704v1_genomic.fna_00344","GCF_018517065.1_ASM1851706v1_genomic.fna_00351","GCF_018517085.1_ASM1851708v1_genomic.fna_00335","GCF_018517105.1_ASM1851710v1_genomic.fna_00469","GCF_018517185.1_ASM1851718v1_genomic.fna_00373"
"glnQ_2","","Glutamine transport ATP-binding protein GlnQ","20","20","1","1","4027","","","","635","635","635","GCF_016743855.1_ASM1674385v1_genomic.fna_02055","GCF_016864255.1_ASM1686425v1_genomic.fna_02150","GCF_017584065.1_ASM1758406v1_genomic.fna_02197","GCF_017603725.1_ASM1760372v1_genomic.fna_02197","GCF_017815655.1_ASM1781565v1_genomic.fna_02186","GCF_017815675.1_ASM1781567v1_genomic.fna_02165","GCF_017815695.1_ASM1781569v1_genomic.fna_02168","GCF_017897965.1_ASM1789796v1_genomic.fna_02248","GCF_017898005.1_ASM1789800v1_genomic.fna_02248","GCF_017898025.1_ASM1789802v1_genomic.fna_00713","GCF_018219285.1_ASM1821928v1_genomic.fna_02112","GCF_018219325.1_ASM1821932v1_genomic.fna_02223","GCF_018279145.1_ASM1827914v1_genomic.fna_01319","GCF_018516845.1_ASM1851684v1_genomic.fna_02047","GCF_018516925.1_ASM1851692v1_genomic.fna_02088","GCF_018517045.1_ASM1851704v1_genomic.fna_02156","GCF_018517065.1_ASM1851706v1_genomic.fna_02126","GCF_018517085.1_ASM1851708v1_genomic.fna_01998","GCF_018517105.1_ASM1851710v1_genomic.fna_02166","GCF_018517185.1_ASM1851718v1_genomic.fna_02132"
"ydcV","","Inner membrane ABC transporter permease protein YdcV","20","20","1","1","5926","","","","827","827","827","GCF_016743855.1_ASM1674385v1_genomic.fna_00605","GCF_016864255.1_ASM1686425v1_genomic.fna_00662","GCF_017584065.1_ASM1758406v1_genomic.fna_00695","GCF_017603725.1_ASM1760372v1_genomic.fna_00618","GCF_017815655.1_ASM1781565v1_genomic.fna_00619","GCF_017815675.1_ASM1781567v1_genomic.fna_00672","GCF_017815695.1_ASM1781569v1_genomic.fna_00620","GCF_017897965.1_ASM1789796v1_genomic.fna_00681","GCF_017898005.1_ASM1789800v1_genomic.fna_00681","GCF_017898025.1_ASM1789802v1_genomic.fna_01897","GCF_018219285.1_ASM1821928v1_genomic.fna_00655","GCF_018219325.1_ASM1821932v1_genomic.fna_00664","GCF_018279145.1_ASM1827914v1_genomic.fna_00277","GCF_018516845.1_ASM1851684v1_genomic.fna_00662","GCF_018516925.1_ASM1851692v1_genomic.fna_00625","GCF_018517045.1_ASM1851704v1_genomic.fna_00657","GCF_018517065.1_ASM1851706v1_genomic.fna_00603","GCF_018517085.1_ASM1851708v1_genomic.fna_00610","GCF_018517105.1_ASM1851710v1_genomic.fna_00743","GCF_018517185.1_ASM1851718v1_genomic.fna_00620"
"rimM","","Ribosome maturation factor RimM","20","20","1","1","2237","","","","521","521","521","GCF_016743855.1_ASM1674385v1_genomic.fna_00840","GCF_016864255.1_ASM1686425v1_genomic.fna_01753","GCF_017584065.1_ASM1758406v1_genomic.fna_01826","GCF_017603725.1_ASM1760372v1_genomic.fna_01806","GCF_017815655.1_ASM1781565v1_genomic.fna_01811","GCF_017815675.1_ASM1781567v1_genomic.fna_01774","GCF_017815695.1_ASM1781569v1_genomic.fna_01792","GCF_017897965.1_ASM1789796v1_genomic.fna_01857","GCF_017898005.1_ASM1789800v1_genomic.fna_01857","GCF_017898025.1_ASM1789802v1_genomic.fna_00262","GCF_018219285.1_ASM1821928v1_genomic.fna_00883","GCF_018219325.1_ASM1821932v1_genomic.fna_01755","GCF_018279145.1_ASM1827914v1_genomic.fna_00041","GCF_018516845.1_ASM1851684v1_genomic.fna_00883","GCF_018516925.1_ASM1851692v1_genomic.fna_01672","GCF_018517045.1_ASM1851704v1_genomic.fna_00912","GCF_018517065.1_ASM1851706v1_genomic.fna_00838","GCF_018517085.1_ASM1851708v1_genomic.fna_00846","GCF_018517105.1_ASM1851710v1_genomic.fna_01783","GCF_018517185.1_ASM1851718v1_genomic.fna_01761"
"feuC","","Iron-uptake system permease protein FeuC","20","20","1","1","1918","","","","1004","1004","1004","GCF_016743855.1_ASM1674385v1_genomic.fna_00969","GCF_016864255.1_ASM1686425v1_genomic.fna_01664","GCF_017584065.1_ASM1758406v1_genomic.fna_01763","GCF_017603725.1_ASM1760372v1_genomic.fna_01612","GCF_017815655.1_ASM1781565v1_genomic.fna_01615","GCF_017815675.1_ASM1781567v1_genomic.fna_01711","GCF_017815695.1_ASM1781569v1_genomic.fna_01671","GCF_017897965.1_ASM1789796v1_genomic.fna_01790","GCF_017898005.1_ASM1789800v1_genomic.fna_01790","GCF_017898025.1_ASM1789802v1_genomic.fna_00209","GCF_018219285.1_ASM1821928v1_genomic.fna_01123","GCF_018219325.1_ASM1821932v1_genomic.fna_01691","GCF_018279145.1_ASM1827914v1_genomic.fna_02396","GCF_018516845.1_ASM1851684v1_genomic.fna_01036","GCF_018516925.1_ASM1851692v1_genomic.fna_01620","GCF_018517045.1_ASM1851704v1_genomic.fna_01024","GCF_018517065.1_ASM1851706v1_genomic.fna_01017","GCF_018517085.1_ASM1851708v1_genomic.fna_00970","GCF_018517105.1_ASM1851710v1_genomic.fna_01723","GCF_018517185.1_ASM1851718v1_genomic.fna_00959"
"group_7103","","putative AAA domain-containing protein","20","20","1","1","905","","","","1286","1286","1286","GCF_016743855.1_ASM1674385v1_genomic.fna_02219","GCF_016864255.1_ASM1686425v1_genomic.fna_02374","GCF_017584065.1_ASM1758406v1_genomic.fna_02421","GCF_017603725.1_ASM1760372v1_genomic.fna_02355","GCF_017815655.1_ASM1781565v1_genomic.fna_02401","GCF_017815675.1_ASM1781567v1_genomic.fna_02324","GCF_017815695.1_ASM1781569v1_genomic.fna_02338","GCF_017897965.1_ASM1789796v1_genomic.fna_02409","GCF_017898005.1_ASM1789800v1_genomic.fna_02409","GCF_017898025.1_ASM1789802v1_genomic.fna_00881","GCF_018219285.1_ASM1821928v1_genomic.fna_02408","GCF_018219325.1_ASM1821932v1_genomic.fna_02391","GCF_018279145.1_ASM1827914v1_genomic.fna_01155","GCF_018516845.1_ASM1851684v1_genomic.fna_02207","GCF_018516925.1_ASM1851692v1_genomic.fna_02249","GCF_018517045.1_ASM1851704v1_genomic.fna_02337","GCF_018517065.1_ASM1851706v1_genomic.fna_02290","GCF_018517085.1_ASM1851708v1_genomic.fna_02166","GCF_018517105.1_ASM1851710v1_genomic.fna_02327","GCF_018517185.1_ASM1851718v1_genomic.fna_02292"
"group_7104","","hypothetical protein","20","20","1","1","2967","","","","1058","1058","1058","GCF_016743855.1_ASM1674385v1_genomic.fna_01524","GCF_016864255.1_ASM1686425v1_genomic.fna_01140","GCF_017584065.1_ASM1758406v1_genomic.fna_01237","GCF_017603725.1_ASM1760372v1_genomic.fna_01093","GCF_017815655.1_ASM1781565v1_genomic.fna_01098","GCF_017815675.1_ASM1781567v1_genomic.fna_01156","GCF_017815695.1_ASM1781569v1_genomic.fna_01109","GCF_017897965.1_ASM1789796v1_genomic.fna_01223","GCF_017898005.1_ASM1789800v1_genomic.fna_01223","GCF_017898025.1_ASM1789802v1_genomic.fna_02380","GCF_018219285.1_ASM1821928v1_genomic.fna_01642","GCF_018219325.1_ASM1821932v1_genomic.fna_01150","GCF_018279145.1_ASM1827914v1_genomic.fna_01853","GCF_018516845.1_ASM1851684v1_genomic.fna_01535","GCF_018516925.1_ASM1851692v1_genomic.fna_01107","GCF_018517045.1_ASM1851704v1_genomic.fna_01569","GCF_018517065.1_ASM1851706v1_genomic.fna_01517","GCF_018517085.1_ASM1851708v1_genomic.fna_01518","GCF_018517105.1_ASM1851710v1_genomic.fna_01214","GCF_018517185.1_ASM1851718v1_genomic.fna_01472"
"rex_2","","Redox-sensing transcriptional repressor Rex","20","20","1","1","7276","","","","647","647","647","GCF_016743855.1_ASM1674385v1_genomic.fna_01932","GCF_016864255.1_ASM1686425v1_genomic.fna_02062","GCF_017584065.1_ASM1758406v1_genomic.fna_02104","GCF_017603725.1_ASM1760372v1_genomic.fna_02109","GCF_017815655.1_ASM1781565v1_genomic.fna_02094","GCF_017815675.1_ASM1781567v1_genomic.fna_02075","GCF_017815695.1_ASM1781569v1_genomic.fna_02076","GCF_017897965.1_ASM1789796v1_genomic.fna_02160","GCF_017898005.1_ASM1789800v1_genomic.fna_02160","GCF_017898025.1_ASM1789802v1_genomic.fna_00623","GCF_018219285.1_ASM1821928v1_genomic.fna_02018","GCF_018219325.1_ASM1821932v1_genomic.fna_02123","GCF_018279145.1_ASM1827914v1_genomic.fna_01421","GCF_018516845.1_ASM1851684v1_genomic.fna_01959","GCF_018516925.1_ASM1851692v1_genomic.fna_02000","GCF_018517045.1_ASM1851704v1_genomic.fna_02063","GCF_018517065.1_ASM1851706v1_genomic.fna_02024","GCF_018517085.1_ASM1851708v1_genomic.fna_01902","GCF_018517105.1_ASM1851710v1_genomic.fna_02073","GCF_018517185.1_ASM1851718v1_genomic.fna_02043"
"yecS_2","","L-cystine transport system permease protein YecS","20","20","1","1","4026","","","","641","641","641","GCF_016743855.1_ASM1674385v1_genomic.fna_02056","GCF_016864255.1_ASM1686425v1_genomic.fna_02151","GCF_017584065.1_ASM1758406v1_genomic.fna_02198","GCF_017603725.1_ASM1760372v1_genomic.fna_02198","GCF_017815655.1_ASM1781565v1_genomic.fna_02187","GCF_017815675.1_ASM1781567v1_genomic.fna_02166","GCF_017815695.1_ASM1781569v1_genomic.fna_02169","GCF_017897965.1_ASM1789796v1_genomic.fna_02249","GCF_017898005.1_ASM1789800v1_genomic.fna_02249","GCF_017898025.1_ASM1789802v1_genomic.fna_00714","GCF_018219285.1_ASM1821928v1_genomic.fna_02113","GCF_018219325.1_ASM1821932v1_genomic.fna_02224","GCF_018279145.1_ASM1827914v1_genomic.fna_01318","GCF_018516845.1_ASM1851684v1_genomic.fna_02048","GCF_018516925.1_ASM1851692v1_genomic.fna_02089","GCF_018517045.1_ASM1851704v1_genomic.fna_02157","GCF_018517065.1_ASM1851706v1_genomic.fna_02127","GCF_018517085.1_ASM1851708v1_genomic.fna_01999","GCF_018517105.1_ASM1851710v1_genomic.fna_02167","GCF_018517185.1_ASM1851718v1_genomic.fna_02133"
"group_7107","","hypothetical protein","20","20","1","1","6033","","","","368","371","369","GCF_016743855.1_ASM1674385v1_genomic.fna_00288","GCF_016864255.1_ASM1686425v1_genomic.fna_00330","GCF_017584065.1_ASM1758406v1_genomic.fna_00379","GCF_017603725.1_ASM1760372v1_genomic.fna_00305","GCF_017815655.1_ASM1781565v1_genomic.fna_00304","GCF_017815675.1_ASM1781567v1_genomic.fna_00317","GCF_017815695.1_ASM1781569v1_genomic.fna_00309","GCF_017897965.1_ASM1789796v1_genomic.fna_00323","GCF_017898005.1_ASM1789800v1_genomic.fna_00323","GCF_017898025.1_ASM1789802v1_genomic.fna_01586","GCF_018219285.1_ASM1821928v1_genomic.fna_00299","GCF_018219325.1_ASM1821932v1_genomic.fna_00345","GCF_018279145.1_ASM1827914v1_genomic.fna_00569","GCF_018516845.1_ASM1851684v1_genomic.fna_00372","GCF_018516925.1_ASM1851692v1_genomic.fna_00311","GCF_018517045.1_ASM1851704v1_genomic.fna_00299","GCF_018517065.1_ASM1851706v1_genomic.fna_00308","GCF_018517085.1_ASM1851708v1_genomic.fna_00291","GCF_018517105.1_ASM1851710v1_genomic.fna_00424","GCF_018517185.1_ASM1851718v1_genomic.fna_00331"
"lysA","","Diaminopimelate decarboxylase","20","20","1","1","4376","","","","1259","1259","1259","GCF_016743855.1_ASM1674385v1_genomic.fna_00391","GCF_016864255.1_ASM1686425v1_genomic.fna_00432","GCF_017584065.1_ASM1758406v1_genomic.fna_00481","GCF_017603725.1_ASM1760372v1_genomic.fna_00408","GCF_017815655.1_ASM1781565v1_genomic.fna_00408","GCF_017815675.1_ASM1781567v1_genomic.fna_00417","GCF_017815695.1_ASM1781569v1_genomic.fna_00414","GCF_017897965.1_ASM1789796v1_genomic.fna_00424","GCF_017898005.1_ASM1789800v1_genomic.fna_00424","GCF_017898025.1_ASM1789802v1_genomic.fna_01686","GCF_018219285.1_ASM1821928v1_genomic.fna_00402","GCF_018219325.1_ASM1821932v1_genomic.fna_00452","GCF_018279145.1_ASM1827914v1_genomic.fna_00468","GCF_018516845.1_ASM1851684v1_genomic.fna_00471","GCF_018516925.1_ASM1851692v1_genomic.fna_00413","GCF_018517045.1_ASM1851704v1_genomic.fna_00402","GCF_018517065.1_ASM1851706v1_genomic.fna_00407","GCF_018517085.1_ASM1851708v1_genomic.fna_00393","GCF_018517105.1_ASM1851710v1_genomic.fna_00526","GCF_018517185.1_ASM1851718v1_genomic.fna_00432"
"iscS_2","","Cysteine desulfurase IscS","20","20","1","1","7281","","","","1142","1142","1142","GCF_016743855.1_ASM1674385v1_genomic.fna_01934","GCF_016864255.1_ASM1686425v1_genomic.fna_02064","GCF_017584065.1_ASM1758406v1_genomic.fna_02106","GCF_017603725.1_ASM1760372v1_genomic.fna_02111","GCF_017815655.1_ASM1781565v1_genomic.fna_02098","GCF_017815675.1_ASM1781567v1_genomic.fna_02077","GCF_017815695.1_ASM1781569v1_genomic.fna_02078","GCF_017897965.1_ASM1789796v1_genomic.fna_02162","GCF_017898005.1_ASM1789800v1_genomic.fna_02162","GCF_017898025.1_ASM1789802v1_genomic.fna_00625","GCF_018219285.1_ASM1821928v1_genomic.fna_02020","GCF_018219325.1_ASM1821932v1_genomic.fna_02125","GCF_018279145.1_ASM1827914v1_genomic.fna_01419","GCF_018516845.1_ASM1851684v1_genomic.fna_01961","GCF_018516925.1_ASM1851692v1_genomic.fna_02002","GCF_018517045.1_ASM1851704v1_genomic.fna_02065","GCF_018517065.1_ASM1851706v1_genomic.fna_02026","GCF_018517085.1_ASM1851708v1_genomic.fna_01904","GCF_018517105.1_ASM1851710v1_genomic.fna_02075","GCF_018517185.1_ASM1851718v1_genomic.fna_02045"
"ffh","","Signal recognition particle protein","20","20","1","1","2230","","","","1418","1418","1418","GCF_016743855.1_ASM1674385v1_genomic.fna_00832","GCF_016864255.1_ASM1686425v1_genomic.fna_01760","GCF_017584065.1_ASM1758406v1_genomic.fna_01833","GCF_017603725.1_ASM1760372v1_genomic.fna_01813","GCF_017815655.1_ASM1781565v1_genomic.fna_01818","GCF_017815675.1_ASM1781567v1_genomic.fna_01781","GCF_017815695.1_ASM1781569v1_genomic.fna_01799","GCF_017897965.1_ASM1789796v1_genomic.fna_01864","GCF_017898005.1_ASM1789800v1_genomic.fna_01864","GCF_017898025.1_ASM1789802v1_genomic.fna_00269","GCF_018219285.1_ASM1821928v1_genomic.fna_00876","GCF_018219325.1_ASM1821932v1_genomic.fna_01762","GCF_018279145.1_ASM1827914v1_genomic.fna_00048","GCF_018516845.1_ASM1851684v1_genomic.fna_00876","GCF_018516925.1_ASM1851692v1_genomic.fna_01679","GCF_018517045.1_ASM1851704v1_genomic.fna_00905","GCF_018517065.1_ASM1851706v1_genomic.fna_00831","GCF_018517085.1_ASM1851708v1_genomic.fna_00838","GCF_018517105.1_ASM1851710v1_genomic.fna_01790","GCF_018517185.1_ASM1851718v1_genomic.fna_01768"
